PMID,Title,Authors,Journal,Publication Date,Abstract,DOI,Keywords
36965859,Artificial intelligence and augmented reality for guided implant surgery planning: A proof of concept.,"Mangano, Francesco Guido; Admakin, Oleg; Lerner, Henriette; Mangano, Carlo",Journal of dentistry,Jun 2023,"To present a novel protocol for authentic three-dimensional (3D) planning of dental implants, using artificial intelligence (AI) and augmented reality (AR). The novel protocol consists of (1) 3D data acquisition, with an intraoral scanner (IOS) and cone-beam computed tomography (CBCT); (2) application of AI for CBCT segmentation to obtain standard tessellation language (STL) models and automatic alignment with IOS models; (3) loading of selected STL models within the AR system and surgical planning with holograms; (4) surgical guide design with open-source computer-assisted-design (CAD) software; and (5) surgery on the patient. This novel protocol is effective and time-efficient when used for planning simple cases of static guided implant surgery in the partially edentulous patient. The clinician can plan the implants in an authentic 3D environment, without using any radiological guided surgery software. The precision of implant placement looks clinically acceptable, with minor deviations. AI and AR technologies can be successfully used in guided implant surgery for authentic 3D planning that may replace conventional software. However, further clinical studies are needed to validate this protocol. The combined use of AI and AR may change the perspectives of modern guided implant surgery for authentic 3D planning that may replace conventional software.",10.1016/j.jdent.2023.104485,Artificial intelligence; Augmented reality; Guided implant surgery planning
38336018,Artificial intelligence serving pre-surgical digital implant planning: A scoping review.,"Elgarba, Bahaaeldeen M; Fontenele, Rocharles Cavalcante; Tarce, Mihai; Jacobs, Reinhilde",Journal of dentistry,Apr 2024,"To conduct a scoping review focusing on artificial intelligence (AI) applications in presurgical dental implant planning. Additionally, to assess the automation degree of clinically available pre-surgical implant planning software. A systematic electronic literature search was performed in five databases (PubMed, Embase, Web of Science, Cochrane Library, and Scopus), along with exploring gray literature web-based resources until November 2023. English-language studies on AI-driven tools for digital implant planning were included based on an independent evaluation by two reviewers. An assessment of automation steps in dental implant planning software available on the market up to November 2023 was also performed. From an initial 1,732 studies, 47 met eligibility criteria. Within this subset, 39 studies focused on AI networks for anatomical landmark-based segmentation, creating virtual patients. Eight studies were dedicated to AI networks for virtual implant placement. Additionally, a total of 12 commonly available implant planning software applications were identified and assessed for their level of automation in pre-surgical digital implant workflows. Notably, only six of these featured at least one fully automated step in the planning software, with none possessing a fully automated implant planning protocol. AI plays a crucial role in achieving accurate, time-efficient, and consistent segmentation of anatomical landmarks, serving the process of virtual patient creation. Additionally, currently available systems for virtual implant placement demonstrate different degrees of automation. It is important to highlight that, as of now, full automation of this process has not been documented nor scientifically validated. Scientific and clinical validation of AI applications for presurgical dental implant planning is currently scarce. The present review allows the clinician to identify AI-based automation in presurgical dental implant planning and assess the potential underlying scientific validation.",10.1016/j.jdent.2024.104862,3D imaging; Artificial intelligence; Cone-beam computed tomography; Deep learning; Dental implant; Implant dentistry
37355089,Ethical considerations on artificial intelligence in dentistry: A framework and checklist.,"Rokhshad, Rata; Ducret, Maxime; Chaurasia, Akhilanand; Karteva, Teodora; Radenkovic, Miroslav; Roganovic, Jelena; Hamdan, Manal; Mohammad-Rahimi, Hossein; Krois, Joachim; Lahoud, Pierre; Schwendicke, Falk",Journal of dentistry,Aug 2023,"Artificial Intelligence (AI) refers to the ability of machines to perform cognitive and intellectual human tasks. In dentistry, AI offers the potential to enhance diagnostic accuracy, improve patient outcomes and streamline workflows. The present study provides a framework and a checklist to evaluate AI applications in dentistry from this perspective. Lending from existing guidance documents, an initial draft of the checklist and an explanatory paper were derived and discussed among the groups members. The checklist was consented to in an anonymous voting process by 29 Topic Group Dental Diagnostics and Digital Dentistry, ITU/WHO Focus Group AI on Health's members. Overall, 11 principles were identified (diversity, transparency, wellness, privacy protection, solidarity, equity, prudence, law and governance, sustainable development, accountability, and responsibility, respect of autonomy, decision-making). Providers, patients, researchers, industry, and other stakeholders should consider these principles when developing, implementing, or receiving AI applications in dentistry. While AI has become increasingly commonplace in dentistry, there are ethical concerns around its usage, and users (providers, patients, and other stakeholders), as well as the industry should consider these when developing, implementing, or receiving AI applications based on comprehensive framework to address the associated ethical challenges.",10.1016/j.jdent.2023.104593,Artificial intelligence; Bioethics; Deep learning; Dentistry; Machine learning
37665008,Applications of artificial intelligence in the analysis of dental panoramic radiographs: an overview of systematic reviews.,"Turosz, Natalia; Chęcińska, Kamila; Chęciński, Maciej; Brzozowska, Anita; Nowak, Zuzanna; Sikora, Maciej",Dento maxillo facial radiology,Oct 2023,"This overview of systematic reviews aimed to establish the current state of knowledge on the suitability of artificial intelligence (AI) in dental panoramic radiograph analysis and illustrate its changes over time. Medical databases covered by the Association for Computing Machinery, Bielefeld Academic Search Engine, Google Scholar, and PubMed engines were searched. The risk of bias was assessed using ROBIS tool. Ultimately, 12 articles were qualified for the qualitative synthesis. The results were visualized with timelines, tables, and charts. In the years 1988-2023, a significant development of information technologies for the analysis of DPRs was observed. The latest analyzed AI models achieve high accuracy in detecting caries (91.5%), osteoporosis (89.29%), maxillary sinusitis (87.5%), periodontal bone loss (93.09%), and teeth identification and numbering (93.67%). The detection of periapical lesions is also characterized by high sensitivity (99.95%) and specificity (92%). However, due to the small number of heterogeneous source studies synthesized in systematic reviews, the results of this overview should be interpreted with caution. Currently, AI applications can significantly support dentists in dental panoramic radiograph analysis. As systematic reviews on AI become outdated quickly, their regular updating is recommended. PROSPERO registration number: CRD42023416048.",10.1016/j.jclinepi.2015.06.005,Artificial Intelligence; Deep learning; Dental radiography; Overview of reviews; Panoramic radiographs
38520195,"The Role, Applications and Challenges of Artificial Intelligence in Dentistry.","Blum, Igor R",Primary dental journal,Mar 2024,,10.1177/20501684241235760,
37283008,"Characteristics, Impact, and Visibility of Scientific Publications on Artificial Intelligence in Dentistry: A Scientometric Analysis.","Velasquez, Ricardo; Barja-Ore, John; Salazar-Salvatierra, Emma; Gutiérrez-Ilave, Margot; Mauricio-Vilchez, Cesar; Mendoza, Roman; Mayta-Tovalino, Frank",The journal of contemporary dental practice,01 Aug 2022,"To analyze the bibliometric characteristics, impact, and visibility of scientific publications on artificial intelligence (AI) in dentistry in Scopus. Descriptive and cross-sectional bibliometric study, based on the systematic search of information in Scopus between 2017 and July 10, 2022. The search strategy was elaborated with Medical Subject Headings (MeSH) and Boolean operators. The analysis of bibliometric indicators was performed with Elsevier's SciVal program. From 2017 to 2022, the number of publications in indexed scientific journals increased, especially in the Q1 (56.1%) and Q2 (30.6%) quartile. Among the journals with the highest production, the majority was from the United States and the United Kingdom, and the Journal of Dental Research has the highest impact (14.9 citations per publication) and the most publications (31). In addition, the Charité - Universitätsmedizin Berlin (FWCI: 8.24) and Krois Joachim (FWCI: 10.09) from Germany were the institution and author with the highest expected performance relative to the world average, respectively. The United States is the country with the highest number of published papers. There is an increasing tendency to increase the scientific production on artificial intelligence in the field of dentistry, with a preference for publication in prestigious scientific journals of high impact. Most of the productive authors and institutions were from Japan. There is a need to promote and consolidate strategies to develop collaborative research both nationally and internationally.",10.5005/jp-journals-10024-3386,Artificial intelligence; Bibliometric analysis; Deep learning; Dentistry Machine learning.
34406309,Demystifying artificial intelligence and deep learning in dentistry.,"Rodrigues, Jonas Almeida; Krois, Joachim; Schwendicke, Falk",Brazilian oral research,2021,"Artificial intelligence (AI) is a general term used to describe the development of computer systems which can perform tasks that normally require human cognition. Machine learning (ML) is one subfield of AI, where computers learn rules from data, capturing its intrinsic statistical patterns and structures. Neural networks (NNs) have been increasingly employed for ML complex data. The application of multilayered NN is referred to as ""deep learning"", which has been recently investigated in dentistry. Convolutional neural networks (CNNs) are mainly used for processing large and complex imagery data, as they are able to extract image features like edges, corners, shapes, and macroscopic patterns using layers of filters. CNN algorithms allow to perform tasks like image classification, object detection and segmentation. The literature involving AI in dentistry has increased rapidly, so a methodological guidance for designing, conducting and reporting studies must be rigorously followed, including the improvement of datasets. The limited interaction between the dental field and the technical disciplines, however, remains a hurdle for applicable dental AI. Similarly, dental users must understand why and how AI applications work and decide to appraise their decisions critically. Generalizable and robust AI applications will eventually prove helpful for clinicians and patients alike.",10.1590/1807-3107bor-2021.vol35.0094,
38347508,Research and application of artificial intelligence in dentistry from lower-middle income countries - a scoping review.,"Umer, Fahad; Adnan, Samira; Lal, Abhishek",BMC oral health,12 Feb 2024,"Artificial intelligence (AI) has been integrated into dentistry for improvement of current dental practice. While many studies have explored the utilization of AI in various fields, the potential of AI in dentistry, particularly in low-middle income countries (LMICs) remains understudied. This scoping review aimed to study the existing literature on the applications of artificial intelligence in dentistry in low-middle income countries. A comprehensive search strategy was applied utilizing three major databases: PubMed, Scopus, and EBSCO Dentistry & Oral Sciences Source. The search strategy included keywords related to AI, Dentistry, and LMICs. The initial search yielded a total of 1587, out of which 25 articles were included in this review. Our findings demonstrated that limited studies have been carried out in LMICs in terms of AI and dentistry. Most of the studies were related to Orthodontics. In addition gaps in literature were noted such as cost utility and patient experience were not mentioned in the included studies.",10.1038/s41746-022-00700-y,Artificial intelligence; Deep learning; Dentistry; Machine learning
31386555,The use and performance of artificial intelligence applications in dental and maxillofacial radiology: A systematic review.,"Hung, Kuofeng; Montalvao, Carla; Tanaka, Ray; Kawai, Taisuke; Bornstein, Michael M",Dento maxillo facial radiology,Jan 2020,"To investigate the current clinical applications and diagnostic performance of artificial intelligence (AI) in dental and maxillofacial radiology (DMFR). Studies using applications related to DMFR to develop or implement AI models were sought by searching five electronic databases and four selected core journals in the field of DMFR. The customized assessment criteria based on QUADAS-2 were adapted for quality analysis of the studies included. The initial electronic search yielded 1862 titles, and 50 studies were eventually included. Most studies focused on AI applications for an automated localization of cephalometric landmarks, diagnosis of osteoporosis, classification/segmentation of maxillofacial cysts and/or tumors, and identification of periodontitis/periapical disease. The performance of AI models varies among different algorithms. The AI models proposed in the studies included exhibited wide clinical applications in DMFR. Nevertheless, it is still necessary to further verify the reliability and applicability of the AI models prior to transferring these models into clinical practice.",10.1109/IEMBS.2011.6091533,artificial intelligence; computer-assisted; dentistry; diagnostic imaging; radiography
38297447,Exploring the potential of artificial intelligence in paediatric dentistry: A systematic review on deep learning algorithms for dental anomaly detection.,"Hartman, Henri; Nurdin, Denny; Akbar, Saiful; Cahyanto, Arief; Setiawan, Arlette Suzy",International journal of paediatric dentistry,Sep 2024,"Artificial intelligence (AI) based on deep learning (DL) algorithms has shown promise in enhancing the speed and accuracy of dental anomaly detection in paediatric dentistry. This systematic review aimed to investigate the performance of AI systems in identifying dental anomalies in paediatric dentistry and compare it with human performance. A systematic search of Scopus, PubMed and Google Scholar was conducted from 2012 to 2022. Inclusion criteria were based on problem/patient/population, intervention/indicator, comparison and outcome scheme and specific keywords related to AI, DL, paediatric dentistry, dental anomalies, supernumerary and mesiodens. Six of 3918 initial pool articles were included, assessing nine DL sub-systems that used panoramic radiographs or cone-beam computed tomography. Article quality was assessed using QUADAS-2. Artificial intelligence systems based on DL algorithms showed promising potential in enhancing the speed and accuracy of dental anomaly detection, with an average of 85.38% accuracy and 86.61% sensitivity. Human performance, however, outperformed AI systems, achieving 95% accuracy and 99% sensitivity. Limitations included a limited number of articles and data heterogeneity. The potential of AI systems employing DL algorithms is highlighted in detecting dental anomalies in paediatric dentistry. Further research is needed to address limitations, explore additional anomalies and establish the broader applicability of AI in paediatric dentistry.",10.1111/ipd.13164,artificial intelligence; cone‐beam computed tomography; deep learning; dental anomalies; panoramic radiography
40011130,"The Transformative Role of Artificial Intelligence in Dentistry: A Comprehensive Overview Part 2: The Promise and Perils, and the International Dental Federation Communique.","Tuygunov, Nozimjon; Samaranayake, Lakshman; Khurshid, Zohaib; Rewthamrongsris, Paak; Schwendicke, Falk; Osathanon, Thanaphum; Yahya, Noor Azlin",International dental journal,Apr 2025,"In the final part of this two part article on artificial intelligence (AI) in dentistry we review its transformative role, focusing on AI in dental education, patient communications, challenges of integration, strategies to overcome barriers, ethical considerations, and finally, the recently released International Dental Federation (FDI) Communique (white paper) on AI in Dentistry. AI in dental education is highlighted for its potential in enhancing theoretical and practical dimensions, including patient telemonitoring and virtual training ecosystems. Challenges of AI integration in dentistry are outlined, such as data availability, bias, and human accountability. Strategies to overcome these challenges include promoting AI literacy, establishing regulations, and focusing on specific AI implementations. Ethical considerations in AI integration within dentistry, such as patient privacy and algorithm bias, are emphasized. The need for clear guidelines and ongoing evaluation of AI systems is crucial. The FDI White Paper on AI in Dentistry provides insights into the significance of AI in oral care, dental education, and research, along with standards for governance. It discusses AI's impact on individual patients, community health, dental education, and research. The paper addresses biases, limited generalizability, accessibility, and regulatory requirements for AI in dental practice. In conclusion, AI plays a significant role in modern dental care, offering benefits in diagnosis, treatment planning, and decision-making. While facing challenges, strategic initiatives focusing on AI literacy, regulations, and targeted implementations can help overcome barriers and maximize the potential of AI in dentistry. Ethical considerations and ongoing evaluation are essential for ensuring responsible, effective and efficacious deployment of AI technologies in dental ecosystem.",10.1007/s11948-015-9652-2,AI Integration; Artificial Intelligence (AI); Ethics; Machine Learning; Patient Communication
35458927,"New Frontier in Advanced Dentistry: CBCT, Intraoral Scanner, Sensors, and Artificial Intelligence in Dentistry.","Kim, Seong-Hun; Kim, Ki Beom; Choo, HyeRan","Sensors (Basel, Switzerland)",12 Apr 2022,The advancement of science and technology has brought innovation in the dental field [...].,10.3390/s21217402,
39746083,Artificial intelligence in dentistry: Assessing the informational quality of YouTube videos.,"Naik, Sachin; Al-Kheraif, Abdulaziz Abdullah; Vellappally, Sajith",PloS one,2025,"The most widely used social media platform for video content is YouTubeTM. The present study evaluated the quality of information on YouTubeTM on artificial intelligence (AI) in dentistry. This cross-sectional study used YouTubeTM (https://www.youtube.com) for searching videos. The terms used for the search were ""artificial intelligence in dentistry,"" ""machine learning in dental care,"" and ""deep learning in dentistry."" The accuracy and reliability of the information source were assessed using the DISCERN score. The quality of the videos was evaluated using the modified Global Quality Score (mGQS) and the Journal of the American Medical Association (JAMA) score. The analysis of 91 YouTube™ videos on AI in dentistry revealed insights into video characteristics, content, and quality. On average, videos were 22.45 minutes and received 1715.58 views and 23.79 likes. The topics were mainly centered on general dentistry (66%), with radiology (18%), orthodontics (9%), prosthodontics (4%), and implants (3%). DISCERN and mGQS scores were higher for videos uploaded by healthcare professionals and educational content videos(P<0.05). DISCERN exhibited a strong correlation (0.75) with the video source and with JAMA (0.77). The correlation of the video's content and mGQS, was 0.66 indicated moderate correlation. YouTube™ has informative and moderately reliable videos on AI in dentistry. Dental students, dentists and patients can use these videos to learn and educate about artificial intelligence in dentistry. Professionals should upload more videos to enhance the reliability of the content.",10.1186/S12913-016-1691-0/TABLES/4,
39436248,[The use of artificial intelligence in modern dentistry in the Russian Federation].,"Losev, F F; Sorokina, A A; Salakhov, A K; Dokin, S P",Stomatologiia,2024,"The aim of the study is to identify the prospects and possibilities of using artificial intelligence (AI) and domestic software in the provision of organization dental care in the Russian Federation. An analysis of the actual situation on the use of domestic computer programs using AI for the provision of medical care in the Russian Federation was carried out based on information presented on the official websites of software developers, in scientific sources of information and analytical systems of the Higher Attestation Commission, eLibrary, PubMed, Scopus, Google Scholar. Content analysis and analytical method were used, followed by interpretation of the data and conclusions obtained. To date, information technologies and domestic software aimed at automation, improving safety and quality of medical care are being actively introduced. The requirements for AI-based programs are justified, namely: safety, accessibility for medical professionals and patients, as well as high competitiveness among developers. AI helps to process large amounts of medical data, contributes to the creation of a personalized approach to patient treatment, automates and optimizes administrative processes in healthcare, increases the accuracy of diagnosis, identification of early signs of the disease, predicts the outcome of treatment, neural networks accelerate the development of remote healthcare and telemedicine. However, it is the doctor who should be responsible for the decisions made based on the ""tips"" and recommendations of artificial intelligence. The use of computer programs using artificial intelligence in dentistry opens up significant prospects for improving the quality of medical care, interaction with patients and improving the level of education of doctors. The most popular programs will be in therapeutic and pediatric dentistry, aimed, among other things, at the prevention of dental diseases. Выявление перспектив и возможностей использования отечественного программного обеспечения с искусственным интеллектом (ИИ) в организации и оказании стоматологической помощи в Российской Федерации. Проведен анализ фактической ситуации по применению отечественных компьютерных программ с использованием ИИ для оказания медицинской помощи (МП) в Российской Федерации на основании сведений, представленных на официальных сайтах разработчиков программного обеспечения, в научных источниках информационно-аналитических систем ВАК, eLibrary, PubMed, Scopus, Google Scholar. Применяли контент-анализ и аналитический метод с последующей интерпретацией полученных данных и выводов. В настоящее время активно разрабатываются и внедряются в практическое здравоохранение информационные технологии и отечественное программное обеспечение, направленное на автоматизацию, повышение безопасности и качество оказания медицинской помощи. Обоснованы требования к программам на основе ИИ — безопасность, доступность для медицинских специалистов и пациентов. ИИ помогает обрабатывать большие объемы медицинских данных, способствует созданию персонализированного подхода к лечению пациентов, автоматизируются и оптимизируются административные процессы в здравоохранении, повышается точность постановки диагноза, идентификации ранних признаков заболевания, прогнозируется исход лечения, ускоряется развитие дистанционного здравоохранения и телемедицины. Однако именно врач должен нести ответственность за принятые решения на основе «подсказок» и рекомендаций ИИ. Применение компьютерных программ с использованием ИИ в стоматологии открывает значительные перспективы для улучшения качества оказания медицинской помощи, взаимодействия с пациентами и повышения уровня образования врачей. Наиболее востребованными будут программы по терапевтической и детской стоматологии, направленные в том числе на профилактику стоматологических заболеваний.",10.17116/stomat202410305142,artificial intelligence; caries prediction; dental care; diagnostics; neural networks
37793819,Applications and performance of artificial intelligence models in removable prosthodontics: A literature review.,"Ali, Islam E; Tanikawa, Chihiro; Chikai, Manabu; Ino, Shuichi; Sumita, Yuka; Wakabayashi, Noriyuki",Journal of prosthodontic research,08 Jul 2024,"In this narrative review, we present the current applications and performances of artificial intelligence (AI) models in different phases of the removable prosthodontic workflow and related research topics. A literature search was conducted using PubMed, Scopus, Web of Science, and Google Scholar databases between January 2010 and January 2023. Search terms related to AI were combined with terms related to removable prosthodontics. Articles reporting the structure and performance of the developed AI model were selected for this literature review. A total of 15 articles were relevant to the application of AI in removable prosthodontics, including maxillofacial prosthetics. These applications included the design of removable partial dentures, classification of partially edentulous arches, functional evaluation and outcome prediction in complete denture treatment, early prosthetic management of patients with cleft lip and palate, coloration of maxillofacial prostheses, and prediction of the material properties of denture teeth. Various AI models with reliable prediction accuracy have been developed using supervised learning. The current applications of AI in removable prosthodontics exhibit significant potential for improving the prosthodontic workflow, with high accuracy levels reported in most of the reviewed studies. However, the focus has been predominantly on the diagnostic phase, with few studies addressing treatment planning and implementation. Because the number of AI-related studies in removable prosthodontics is limited, more models targeting different prosthodontic disciplines are required.",10.2186/jpr.JPR_D_23_00073,Artificial intelligence; Machine learning; Maxillofacial prosthodontics; Removable prosthodontics
38579110,Artificial Intelligence (AI) Role in Implant Dentistry.,"Rutkowski, James L",The Journal of oral implantology,01 Feb 2024,,10.1563/Editorial,
35162751,Artificial Intelligence: A New Diagnostic Software in Dentistry: A Preliminary Performance Diagnostic Study.,"De Angelis, Francesca; Pranno, Nicola; Franchina, Alessio; Di Carlo, Stefano; Brauner, Edoardo; Ferri, Agnese; Pellegrino, Gerardo; Grecchi, Emma; Goker, Funda; Stefanelli, Luigi Vito",International journal of environmental research and public health,02 Feb 2022,"Artificial intelligence (AI) has taken hold in public health because more and more people are looking to make a diagnosis using technology that allows them to work faster and more accurately, reducing costs and the number of medical errors. In the present study, 120 panoramic X-rays (OPGs) were randomly selected from the Department of Oral and Maxillofacial Sciences of Sapienza University of Rome, Italy. The OPGs were acquired and analyzed using Apox, which takes a panoramic X-rayand automatically returns the dental formula, the presence of dental implants, prosthetic crowns, fillings and root remnants. A descriptive analysis was performed presenting the categorical variables as absolute and relative frequencies. In total, the number of true positive (TP) values was 2.195 (19.06%); true negative (TN), 8.908 (77.34%); false positive (FP), 132 (1.15%); and false negative (FN), 283 (2.46%). The overall sensitivity was 0.89, while the overall specificity was 0.98. The present study shows the latest achievements in dentistry, analyzing the application and credibility of a new diagnostic method to improve the work of dentists and the patients' care.",10.1016/j.compbiomed.2019.02.017,accuracy; artificial intelligence; dental radiology; digital dentistry; machine learning
36914305,"ARTIFICIAL INTELLIGENCE (AI) AS AN AID IN RESTORATIVE DENTISTRY IS PROMISING, BUT STILL A WORK IN PROGRESS.","Alqutaibi, Ahmed Yaseen; Aboalrejal, Afaf Noman",The journal of evidence-based dental practice,Mar 2023,"Artificial intelligence applications in restorative dentistry: A systematic review. Revilla-León, M., Gómez-Polo, M., Vyas, S., Barmak, A. B., Özcan, M., Att, W., & Krishnamurthy, V. R. J Prosthet Dent 2021 SOURCE OF FUNDING: Not reported. Systematic review.",10.1016/j.jebdp.2023.101837,AI; Artificial intelligence; Dental caries; Machine learning; Restorative dentistry; Root fracture
40074616,"The Transformative Role of Artificial Intelligence in Dentistry: A Comprehensive Overview. Part 1: Fundamentals of AI, and its Contemporary Applications in Dentistry.","Samaranayake, Lakshman; Tuygunov, Nozimjon; Schwendicke, Falk; Osathanon, Thanaphum; Khurshid, Zohaib; Boymuradov, Shukhrat A; Cahyanto, Arief",International dental journal,Apr 2025,"Artificial intelligence (AI) holds immense promise in revolutionising dentistry, spanning, diagnostics, treatment planning and educational realms. This narrative review, in two parts, explores the fundamentals and the multifaceted potential of AI in dentistry. The current article explores the profound impact of AI in dentistry, encompassing diagnostic tools, treatment planning, and patient care. The Part 2 of the article delves into the potential of AI in patient education, ethics and the FDI communique on AI in dentistry. The review begins by elucidating the historical context of AI, outlining its recent widespread use in various sectors, including medicine and dentistry. The narrative delves into the fundamental concepts of AI, which entails developing machines capable of executing tasks that typically necessitate human intellect. In the biomedical realm, AI has evolved from exploring computational models to constructing systems for clinical data processing and interpretation, aiming to enhance medical/dental decision-making. The discussion delves into the pivotal role of AI models in dentistry, such as Large Language Models (LLM), Large Vision Models (LVM), and Multimodality Models (MM), revolutionizing processes from clinical documentation to treatment planning. The narrative extends to the applications of AI in dental specialties such as periodontics, endodontics, oral medicine and pathology, restorative dentistry, prosthodontics, paediatric dentistry, forensic odontology, oral and maxillofacial surgery, orthodontics, and orofacial pain management. AI's role in improving treatment outcomes, diagnostic accuracy, and decision-making processes is evident across these specialties, showcasing its potential in transforming dental care. The review concludes by highlighting the need for continued validation, interdisciplinary collaboration, and regulatory frameworks to ensure the seamless integration of AI into dentistry, paving the way for enhanced patient outcomes and evidence-based practice in the field.",10.2147/NSS.S320664,"AI,; Artificial intelligence; Challenge; Dentistry; Literacy; Oral health; Petient care"
34493389,"Comments on ""Artificial intelligence applications in restorative dentistry: A systematic review"".","Habib, Saqib; Umer, Fahad",The Journal of prosthetic dentistry,Jan 2022,,10.1016/j.prosdent.2021.08.003,
37392423,Detecting dental caries on oral photographs using artificial intelligence: A systematic review.,"Moharrami, Mohammad; Farmer, Julie; Singhal, Sonica; Watson, Erin; Glogauer, Michael; Johnson, Alistair E W; Schwendicke, Falk; Quinonez, Carlos",Oral diseases,May 2024,"This systematic review aimed at evaluating the performance of artificial intelligence (AI) models in detecting dental caries on oral photographs. Methodological characteristics and performance metrics of clinical studies reporting on deep learning and other machine learning algorithms were assessed. The risk of bias was evaluated using the quality assessment of diagnostic accuracy studies 2 (QUADAS-2) tool. A systematic search was conducted in EMBASE, Medline, and Scopus. Out of 3410 identified records, 19 studies were included with six and seven studies having low risk of biases and applicability concerns for all the domains, respectively. Metrics varied widely and were assessed on multiple levels. F1-scores for classification and detection tasks were 68.3%-94.3% and 42.8%-95.4%, respectively. Irrespective of the task, F1-scores were 68.3%-95.4% for professional cameras, 78.8%-87.6%, for intraoral cameras, and 42.8%-80% for smartphone cameras. Limited studies allowed assessing AI performance for lesions of different severity. Automatic detection of dental caries using AI may provide objective verification of clinicians' diagnoses and facilitate patient-clinician communication and teledentistry. Future studies should consider more robust study designs, employ comparable and standardized metrics, and focus on the severity of caries lesions.",10.1111/odi.14659,deep learning; dental caries; intraoral camera; oral photograph; smartphone
39600121,Mapping the Use of Artificial Intelligence-Based Image Analysis for Clinical Decision-Making in Dentistry: A Scoping Review.,"Chen, Wei; Dhawan, Monisha; Liu, Jonathan; Ing, Damie; Mehta, Kruti; Tran, Daniel; Lawrence, Daniel; Ganhewa, Max; Cirillo, Nicola",Clinical and experimental dental research,Dec 2024,"Artificial intelligence (AI) is an emerging field in dentistry. AI is gradually being integrated into dentistry to improve clinical dental practice. The aims of this scoping review were to investigate the application of AI in image analysis for decision-making in clinical dentistry and identify trends and research gaps in the current literature. This review followed the guidelines provided by the Preferred Reporting Items for Systematic Reviews and Meta-Analyses Extension for Scoping Reviews (PRISMA-ScR). An electronic literature search was performed through PubMed and Scopus. After removing duplicates, a preliminary screening based on titles and abstracts was performed. A full-text review and analysis were performed according to predefined inclusion criteria, and data were extracted from eligible articles. Of the 1334 articles returned, 276 met the inclusion criteria (consisting of 601,122 images in total) and were included in the qualitative synthesis. Most of the included studies utilized convolutional neural networks (CNNs) on dental radiographs such as orthopantomograms (OPGs) and intraoral radiographs (bitewings and periapicals). AI was applied across all fields of dentistry - particularly oral medicine, oral surgery, and orthodontics - for direct clinical inference and segmentation. AI-based image analysis was use in several components of the clinical decision-making process, including diagnosis, detection or classification, prediction, and management. A variety of machine learning and deep learning techniques are being used for dental image analysis to assist clinicians in making accurate diagnoses and choosing appropriate interventions in a timely manner.",10.3390/DIAGNOSTICS11091664,artificial intelligence; convolutional neural networks; dentistry; image analysis
34610222,Machine learning in orthodontics: Challenges and perspectives.,"Liu, Jialing; Chen, Ye; Li, Shihao; Zhao, Zhihe; Wu, Zhihong",Advances in clinical and experimental medicine : official organ Wroclaw Medical University,Oct 2021,"Artificial intelligence (AI) applications have significantly improved our everyday quality of life. The last decade has witnessed the emergence of up-and-coming applications in the field of dentistry. It is hopeful that AI, especially machine learning (ML), due to its powerful capacity for image processing and decision support systems, will find extensive application in orthodontics in the future. We performed a comprehensive literature review of the latest studies on the application of ML in orthodontic procedures, including diagnosis, decision-making and treatment. Machine learning models have been found to perform similar to or with even higher accuracy than humans in landmark identification, skeletal classification, bone age prediction, and tooth segmentation. Meanwhile, compared to human experts, ML algorithms allow for high agreement and stability in orthodontic decision-making procedures and treatment effect evaluation. However, current research on ML raises important questions regarding its interpretability and dataset sample reliability. Therefore, more collaboration between orthodontic professionals and technicians is urged to achieve a positive symbiosis between AI and the clinic.",10.17219/acem/138702,artificial intelligence (AI); convolutional neural network (CNN); machine learning; neural network; orthodontics
31061991,Editorial: Artificial intelligence and team work in dentistry.,"Devigus, Alessandro; Pietrobon, Nicola",The international journal of esthetic dentistry,2019,,,
36901630,Artificial Intelligence as a Decision-Making Tool in Forensic Dentistry: A Pilot Study with I3M.,"Bui, Romain; Iozzino, Régis; Richert, Raphaël; Roy, Pascal; Boussel, Loïc; Tafrount, Cheraz; Ducret, Maxime",International journal of environmental research and public health,06 Mar 2023,"Expert determination of the third molar maturity index (I3M) constitutes one of the most common approaches for dental age estimation. This work aimed to investigate the technical feasibility of creating a decision-making tool based on I3M to support expert decision-making. Methods: The dataset consisted of 456 images from France and Uganda. Two deep learning approaches (Mask R-CNN, U-Net) were compared on mandibular radiographs, leading to a two-part instance segmentation (apical and coronal). Then, two topological data analysis approaches were compared on the inferred mask: one with a deep learning component (TDA-DL), one without (TDA). Regarding mask inference, U-Net had a better accuracy (mean intersection over union metric (mIoU)), 91.2% compared to 83.8% for Mask R-CNN. The combination of U-Net with TDA or TDA-DL to compute the I3M score revealed satisfying results in comparison with a dental forensic expert. The mean ± SD absolute error was 0.04 ± 0.03 for TDA, and 0.06 ± 0.04 for TDA-DL. The Pearson correlation coefficient of the I3M scores between the expert and a U-Net model was 0.93 when combined with TDA and 0.89 with TDA-DL. This pilot study illustrates the potential feasibility to automate an I3M solution combining a deep learning and a topological approach, with 95% accuracy in comparison with an expert.",10.1016/j.jds.2022.12.003,age estimation; artificial intelligence; deep learning; dentistry; machine learning; neural network; topological analysis
