Abstract,Authors,DOI,Issue,Journal,Journal Country,Journal ISSN,Keywords,Language,PMID,Pages,Publication Date,Publication Type,Title,Volume
"Machine learning (ML) is being increasingly employed in dental research and application. We aimed to systematically compile studies using ML in dentistry and assess their methodological quality, including the risk of bias and reporting standards. We evaluated studies employing ML in dentistry published from 1 January 2015 to 31 May 2021 on MEDLINE, IEEE Xplore, and arXiv. We assessed publication trends and the distribution of ML tasks (classification, object detection, semantic segmentation, instance segmentation, and generation) in different clinical fields. We appraised the risk of bias and adherence to reporting standards, using the QUADAS-2 and TRIPOD checklists, respectively. Out of 183 identified studies, 168 were included, focusing on various ML tasks and employing a broad range of ML models, input data, data sources, strategies to generate reference tests, and performance metrics. Classification tasks were most common. Forty-two different metrics were used to evaluate model performances, with accuracy, sensitivity, precision, and intersection-over-union being the most common. We observed considerable risk of bias and moderate adherence to reporting standards which hampers replication of results. A minimum (core) set of outcome and outcome metrics is necessary to facilitate comparisons across studies.",Arsiwala-Scheppach LT; Chaurasia A; Muller A; Krois J; Schwendicke F,10.3390/jcm12030937 [doi] 937,3,Journal of clinical medicine,Switzerland,2077-0383 (Print) 2077-0383 (Electronic) 2077-0383 (Linking),N/A,eng,36769585,N/A,2023 Jan 25,Journal Article; Scoping Review,Machine Learning in Dentistry: A Scoping Review.,12
"Artificial intelligence (AI) is the ability of machines to perform tasks that normally require human intelligence. Although it was first conceptualized in the 1950s, it has developed rapidly in recent times. AI can undertake complex predictions and make decisions due to its ability to mimic human intelligence. Its popularity has grown exponentially in the health sector including dentistry. It is useful in all dental disciplines, including endodontics, oral medicine and radiology, periodontics, prosthodontics, oral pathology, and forensic odontology. This review describes the history, types, and uses of AI across different disciplines. This will help dental professionals to understand the utility of AI and improve their efficiency toward better patient care.",Prabhu VD; Saidath K; Suvarna N; Mohtesham I; Shenoy S; Prabhu RV,10.4103/jpbs.jpbs_1341_24 [doi],Suppl 5,Journal of pharmacy & bioallied sciences,India,0976-4879 (Print) 0975-7406 (Electronic) 0975-7406 (Linking),N/A,eng,40061754,S4257-S4261,2024 Dec,Journal Article; Review,Artificial Intelligence and Dentistry: The Future.,16
"The developments in Artificial Intelligence have been on the rise since its advent. The advancements in this field have been the innovative research area across a wide range of industries, making its incorporation in dentistry inevitable. Artificial Intelligence techniques are making serious progress in the diagnostic and treatment planning aspects of dental clinical practice. This will ultimately help in the elimination of subjectivity and human error that are often part of radiographic interpretations, and will improve the overall efficiency of the process. The various types of Artificial Intelligence algorithms that exist today make the understanding of their application quite complex. The current narrative review was planned to make comprehension of Artificial Intelligence algorithms relatively straightforward. The focus was planned to be kept on the current developments and prospects of Artificial Intelligence in dentistry, especially Deep Learning and Convolutional Neural Networks in diagnostic imaging. The narrative review may facilitate the interpretation of seemingly perplexing research published widely in dental journals.",Adnan N; Umer F,10.47391/JPMA.AKU-12 [doi],2,JPMA. The Journal of the Pakistan Medical Association,Pakistan,0030-9982 (Print) 0030-9982 (Linking),"Algorithms; *Artificial Intelligence; *Deep Learning; Humans; Machine Learning; Neural Networks, Computer",eng,35202373,S59-S63,2022 Feb,Journal Article; Review,Understanding deep learning - challenges and prospects.,72(Suppl 1)
"OBJECTIVES: This paper provides an overview of existing applications and concepts of robotic systems and artificial intelligence in dentistry. This review aims to provide the community with novel inputs and argues for an increased utilization of these recent technological developments, referred to as Dentronics, in order to advance dentistry. METHODS: First, background on developments in robotics, artificial intelligence (AI) and machine learning (ML) are reviewed that may enable novel assistive applications in dentistry (Sec A). Second, a systematic technology review that evaluates existing state-of-the-art applications in AI, ML and robotics in the context of dentistry is presented (Sec B). RESULTS: A systematic literature research in pubmed yielded in a total of 558 results. 41 studies related to ML, 53 studies related to AI and 49 original research papers on robotics application in dentistry were included. ML and AI have been applied in dental research to analyze large amounts of data to eventually support dental decision making, diagnosis, prognosis and treatment planning with the help of data-driven analysis algorithms based on machine learning. So far, only few robotic applications have made it to reality, mostly restricted to pilot use cases. SIGNIFICANCE: The authors believe that dentistry can greatly benefit from the current rise of digital human-centered automation and be transformed towards a new robotic, ML and AI-enabled era. In the future, Dentronics will enhance reliability, reproducibility, accuracy and efficiency in dentistry through the democratized use of modern dental technologies, such as medical robot systems and specialized artificial intelligence. Dentronics will increase our understanding of disease pathogenesis, improve risk-assessment-strategies, diagnosis, disease prediction and finally lead to better treatment outcomes.",Grischke J; Johannsmeier L; Eich L; Griga L; Haddadin S,S0109-5641(20)30076-2 [pii] 10.1016/j.dental.2020.03.021 [doi],6,Dental materials : official publication of the Academy of Dental Materials,England,1879-0097 (Electronic) 0109-5641 (Linking),Algorithms; *Artificial Intelligence; Dentistry; Humans; Reproducibility of Results; *Robotics,eng,32349877,765-778,2020 Jun,Journal Article; Review,Dentronics: Towards robotics and artificial intelligence in dentistry.,36
"PURPOSE: Artificial intelligence (AI), represented by deep learning, can be used for real-life problems and is applied across all sectors of society including medical and dental field. The purpose of this study is to review articles about deep learning that were applied to the field of oral and maxillofacial radiology. MATERIALS AND METHODS: A systematic review was performed using Pubmed, Scopus, and IEEE explore databases to identify articles using deep learning in English literature. The variables from 25 articles included network architecture, number of training data, evaluation result, pros and cons, study object and imaging modality. RESULTS: Convolutional Neural network (CNN) was used as a main network component. The number of published paper and training datasets tended to increase, dealing with various field of dentistry. CONCLUSION: Dental public datasets need to be constructed and data standardization is necessary for clinical application of deep learning in dental field.",Hwang JJ; Jung YH; Cho BH; Heo MS,10.5624/isd.2019.49.1.1 [doi],1,Imaging science in dentistry,Korea (South),2233-7822 (Print) 2233-7830 (Electronic) 2233-7822 (Linking),N/A,eng,30941282,1-7,2019 Mar,Journal Article; Review,An overview of deep learning in the field of dentistry.,49
"Artificial intelligence (AI) technology is being used in various fields and its use is increasingly expanding in dentistry. The key aspects of AI include machine learning (ML), deep learning (DL), and neural networks (NNs). The aim of this review is to present an overview of AI, its various aspects, and its application in biomedicine, dentistry, and dental biomaterials focusing on restorative dentistry and prosthodontics. AI-based systems can be a complementary tool in diagnosis and treatment planning, result prediction, and patient-centered care. AI software can be used to detect restorations, prosthetic crowns, periodontal bone loss, and root canal segmentation from the periapical radiographs. The integration of AI, digital imaging, and 3D printing can provide more precise, durable, and patient-oriented outcomes. AI can be also used for the automatic segmentation of panoramic radiographs showing normal anatomy of the oral and maxillofacial area. Recent advancement in AI in medical and dental sciences includes multimodal deep learning fusion, speech data detection, and neuromorphic computing. Hence, AI has helped dentists in diagnosis, planning, and aid in providing high-quality dental treatments in less time.",Rokaya D; Jaghsi AA; Jagtap R; Srimaneepong V,10.3389/fdmed.2024.1525505 [doi] 1525505,N/A,Frontiers in dental medicine,Switzerland,2673-4915 (Electronic) 2673-4915 (Linking),N/A,eng,39917699,1525505,2024,Journal Article; Review,Artificial intelligence in dentistry and dental biomaterials.,5
"Personalized medicine refers to the tailoring of diagnostics and therapeutics to individuals based on one's biological, social, and behavioral characteristics. While personalized dental medicine is still far from being a reality, advanced artificial intelligence (AI) technologies with improved data analytic approaches are expected to integrate diverse data from the individual, setting, and system levels, which may facilitate a deeper understanding of the interaction of these multilevel data and therefore bring us closer to more personalized, predictive, preventive, and participatory dentistry, also known as P4 dentistry. In the field of dentomaxillofacial imaging, a wide range of AI applications, including several commercially available software options, have been proposed to assist dentists in the diagnosis and treatment planning of various dentomaxillofacial diseases, with performance similar or even superior to that of specialists. Notably, the impact of these dental AI applications on treatment decision, clinical and patient-reported outcomes, and cost-effectiveness has so far been assessed sparsely. Such information should be further investigated in future studies to provide patients, providers, and healthcare organizers a clearer picture of the true usefulness of AI in daily dental practice.",Hung KF; Yeung AWK; Bornstein MM; Schwendicke F,10.1259/dmfr.20220335 [doi] 20220335,1,Dento maxillo facial radiology,England,0250-832X (Print) 1476-542X (Electronic) 0250-832X (Linking),Humans; *Artificial Intelligence; Diagnostic Imaging; *Precision Medicine/methods; *Dental Care,eng,36472627,20220335,2023 Jan 1,Journal Article; Review,"Personalized dental medicine, artificial intelligence, and their relevance for dentomaxillofacial imaging.",52
"STATEMENT OF THE PROBLEM: In recent years, the use of artificial intelligence (AI) has become increasingly popular in dentistry because it facilitates the process of diagnosis and clinical decision-making. However, AI holds multiple prominent drawbacks, which restrict its wide application today. It is necessary for dentists to be aware of AI's pros and cons before its implementation. PURPOSE: Therefore, the present study was conducted to comprehensively review various applications of AI in all dental branches along with its advantages and disadvantages. MATERIALS AND METHOD: For this review article, a complete query was carried out on PubMed and Google Scholar databases and the studies published during 2010-2022 were collected using the keywords ""Artificial Intelligence"", ""Dentistry,"" ""Machine learning,"" ""Deep learning,"" and ""Diagnostic System."" Ultimately, 116 relevant articles focused on artificial intelligence in dentistry were selected and evaluated. RESULTS: In new research AI applications in detecting dental abnormalities and oral malignancies based on radiographic view and histopathological features, designing dental implants and crowns, determining tooth preparation finishing line, analyzing growth patterns, estimating biological age, predicting the viability of dental pulp stem cells, analyzing the gene expression of periapical lesions, forensic dentistry, and predicting the success rate of treatments, have been mentioned. Despite AI's benefits in clinical dentistry, three controversial challenges including ease of use, financial return on investment, and evidence of performance exist and need to be managed. CONCLUSION: As evidenced by the obtained results, the most crucial progression of AI is in oral malignancies' diagnostic systems. However, AI's newest advancements in various branches of dentistry require further scientific work before being applied to clinical practice. Moreover, the immense use of AI in clinical dentistry is only achievable when its challenges are appropriately managed.",Ghods K; Azizi A; Jafari A; Ghods K,10.30476/dentjods.2023.96835.1969 [doi],4,"Journal of dentistry (Shiraz, Iran)",Iran,2345-6485 (Print) 2345-6418 (Electronic) 2345-6418 (Linking),N/A,eng,38149231,356-371,2023 Dec,Journal Article; Review,"Application of Artificial Intelligence in Clinical Dentistry, a Comprehensive Review of Literature.",24
"Deep learning and diagnostic applications in oral and dental health have received significant attention recently. In this review, studies applying deep learning to diagnose anomalies and diseases in dental image material were systematically compiled, and their datasets, methodologies, test processes, explainable artificial intelligence methods, and findings were analyzed. Tests and results in studies involving human-artificial intelligence comparisons are discussed in detail to draw attention to the clinical importance of deep learning. In addition, the review critically evaluates the literature to guide and further develop future studies in this field. An extensive literature search was conducted for the 2019-May 2023 range using the Medline (PubMed) and Google Scholar databases to identify eligible articles, and 101 studies were shortlisted, including applications for diagnosing dental anomalies (n = 22) and diseases (n = 79) using deep learning for classification, object detection, and segmentation tasks. According to the results, the most commonly used task type was classification (n = 51), the most commonly used dental image material was panoramic radiographs (n = 55), and the most frequently used performance metric was sensitivity/recall/true positive rate (n = 87) and accuracy (n = 69). Dataset sizes ranged from 60 to 12,179 images. Although deep learning algorithms are used as individual or at least individualized architectures, standardized architectures such as pre-trained CNNs, Faster R-CNN, YOLO, and U-Net have been used in most studies. Few studies have used the explainable AI method (n = 22) and applied tests comparing human and artificial intelligence (n = 21). Deep learning is promising for better diagnosis and treatment planning in dentistry based on the high-performance results reported by the studies. For all that, their safety should be demonstrated using a more reproducible and comparable methodology, including tests with information about their clinical applicability, by defining a standard set of tests and performance metrics.",Sivari E; Senirkentli GB; Bostanci E; Guzel MS; Acici K; Asuroglu T,10.3390/diagnostics13152512 [doi] 2512,15,"Diagnostics (Basel, Switzerland)",Switzerland,2075-4418 (Print) 2075-4418 (Electronic) 2075-4418 (Linking),N/A,eng,37568875,N/A,2023 Jul 27,Journal Article; Review,Deep Learning in Diagnosis of Dental Anomalies and Diseases: A Systematic Review.,13
"Artificial intelligence (AI) is a commonly used term in daily life, and there are now two subconcepts that divide the entire range of meanings currently encompassed by the term. The coexistence of the concepts of strong and weak AI can be seen as a result of the recognition of the limits of mathematical and engineering concepts that have dominated the definition. This presentation reviewed the concept, history, and the current application of AI in daily life. Applications of AI are becoming a reality that is commonplace in all areas of modern human life. Efforts to develop robots controlled by AI have been continuously carried out to maximize human convenience. AI has also been applied in the medical decision-making process, and these AI systems can help nonspecialists to obtain expert-level information. Artificial neural networks are highly interconnected networks of computer processors inspired by biological nervous systems. These systems may help connect dental professionals all over the world. Currently, the use of AI is rapidly advancing beyond text-based, image-based dental practice. This presentation reviewed the history of artificial neural networks in the medical and dental fields, as well as current application in dentistry. As the use of AI in the entire medical field increases, the role of AI in dentistry will be greatly expanded. Currently, the use of AI is rapidly advancing beyond text-based, image-based dental practice. In addition to diagnosis of visually confirmed dental caries and impacted teeth, studies applying machine learning based on artificial neural networks to dental treatment through analysis of dental magnetic resonance imaging, computed tomography, and cephalometric radiography are actively underway, and some visible results are emerging at a rapid pace for commercialization.",Park WJ; Park JB,10.4103/ejd.ejd_325_18 [doi],4,European journal of dentistry,Germany,1305-7456 (Print) 1305-7464 (Electronic),N/A,eng,30369809,594-601,2018 Oct-Dec,Journal Article; Review,History and application of artificial neural networks in dentistry.,12
"The development of artificial intelligence (AI) in dentistry requires large and well-annotated datasets. However, the availability of public dental imaging datasets remains unclear. This study aimed to provide a comprehensive overview of all publicly available dental imaging datasets to address this gap and support AI development. This observational study searched all publicly available dataset resources (academic databases, preprints, and AI challenges), focusing on datasets/articles from 2020 to 2023, with PubMed searches extending back to 2011. We comprehensively searched for dental AI datasets containing images (intraoral photos, scans, radiographs, etc.) using relevant keywords. We included datasets of >50 images obtained from publicly available sources. We extracted dataset characteristics, patient demographics, country of origin, dataset size, ethical clearance, image details, FAIRness metrics, and metadata completeness. We screened 131,028 records and extracted 16 unique dental imaging datasets. The datasets were obtained from Kaggle (18.8%), GitHub, Google, Mendeley, PubMed, Zenodo (each 12.5%), Grand-Challenge, OSF, and arXiv (each 6.25%). The primary focus was tooth segmentation (62.5%) and labeling (56.2%). Panoramic radiography was the most common imaging modality (58.8%). Of the 13 countries, China contributed the most images (2,413). Of the datasets, 75% contained annotations, whereas the methods used to establish labels were often unclear and inconsistent. Only 31.2% of the datasets reported ethical approval, and 56.25% did not specify a license. Most data were obtained from dental clinics (50%). Intraoral radiographs had the highest findability score in the FAIR assessment, whereas cone-beam computed tomography datasets scored the lowest in all categories. These findings revealed a scarcity of publicly available imaging dental data and inconsistent metadata reporting. To promote the development of robust, equitable, and generalizable AI tools for dental diagnostics, treatment, and research, efforts are needed to address data scarcity, increase diversity, mandate metadata completeness, and ensure FAIRness in AI dental imaging research.",Uribe SE; Issa J; Sohrabniya F; Denny A; Kim NN; Dayo AF; Chaurasia A; Sofi-Mahmudi A; Buttner M; Schwendicke F,10.1177/00220345241272052 [doi],13,Journal of dental research,United States,1544-0591 (Electronic) 0022-0345 (Print) 0022-0345 (Linking),"Humans; *Artificial Intelligence; Datasets as Topic; Databases, Factual",eng,39422586,1365-1374,2024 Dec,Journal Article; Observational Study,Publicly Available Dental Image Datasets for Artificial Intelligence.,103
"Diagnosing dental caries plays a pivotal role in preventing and treating tooth decay. However, traditional methods of diagnosing caries often fall short in accuracy and efficiency. Despite the endorsement of radiography as a diagnostic tool, the identification of dental caries through radiographic images can be influenced by individual interpretation. Incorporating artificial intelligence (AI) into diagnosing dental caries holds significant promise, potentially enhancing the precision and efficiency of diagnoses. This review introduces the fundamental concepts of AI, including machine learning and deep learning algorithms, and emphasizes their relevance and potential contributions to the diagnosis of dental caries. It further explains the process of gathering and pre-processing radiography data for AI examination. Additionally, AI techniques for dental caries diagnosis are explored, focusing on image processing, analysis, and classification models for predicting caries risk and severity. Deep learning applications in dental caries diagnosis using convolutional neural networks are presented. Furthermore, the integration of AI systems into dental practice is discussed, including the challenges and considerations for implementation as well as ethical and legal aspects. The breadth of AI technologies and their prospective utility in clinical scenarios for diagnosing dental caries from dental radiographs is presented. This review outlines the advancements of AI and its potential in revolutionizing dental caries diagnosis, encouraging further research and development in this rapidly evolving field.",Anil S; Porwal P; Porwal A,10.7759/cureus.41694 [doi] e41694,7,Cureus,United States,2168-8184 (Print) 2168-8184 (Electronic) 2168-8184 (Linking),N/A,eng,37575741,e41694,2023 Jul,Journal Article; Review,Transforming Dental Caries Diagnosis Through Artificial Intelligence-Based Techniques.,15
"BACKGROUND/PURPOSE: Artificial intelligence (AI) is reshaping clinical practice in dentistry. This study aims to provide a comprehensive overview of global trends and research hotspots on the application of AI to dentistry. MATERIALS AND METHODS: Studies on AI in dentistry published between 2000 and 2023 were retrieved from the Web of Science Core Collection. Bibliometric parameters were extracted and bibliometric analysis was conducted using VOSviewer, Pajek, and CiteSpace software. RESULTS: A total of 651 publications were identified, 88.7 % of which were published after 2019. Publications originating from the United States and China accounted for 34.5 % of the total. The Charite Medical University of Berlin was the institution with the highest number of publications, and Schwendicke and Krois were the most active authors in the field. The Journal of Dentistry had the highest citation count. The focus of AI in dentistry primarily centered on the analysis of imaging data and the dental diseases most frequently associated with AI were periodontitis, bone fractures, and dental caries. The dental AI applications most frequently discussed since 2019 included neural networks, medical devices, clinical decision support systems, head and neck cancer, support vector machine, geometric deep learning, and precision medicine. CONCLUSION: Research on AI in dentistry is experiencing explosive growth. The prevailing research emphasis and anticipated future development involve the establishment of medical devices and clinical decision support systems based on innovative AI algorithms to advance precision dentistry. This study provides dentists with valuable insights into this field.",Xie B; Xu D; Zou XQ; Lu MJ; Peng XL; Wen XJ,10.1016/j.jds.2023.10.025 [doi],3,Journal of dental sciences,Netherlands,2213-8862 (Electronic) 1991-7902 (Print) 1991-7902 (Linking),N/A,eng,39035285,1722-1733,2024 Jul,Journal Article,Artificial intelligence in dentistry: A bibliometric analysis from 2000 to 2023.,19
